Image Name,Processing Time (s),Match Found,Notes
Boston Whaler 420 Outrage.jpg,5.59,0,No exact/visual matches found (skipped)
"Boudhanath Stupa, Nepal.jpg",6.04,0,No exact/visual matches found (skipped)
Bouldering.jpg,6.37,0,No exact/visual matches found (skipped)
Bourbon Red Turkey.jpg,6.58,0,No exact/visual matches found (skipped)
Bowling Ball.jpg,5.38,0,No exact/visual matches found (skipped)
Bowling Pins.jpg,6.00,0,No exact/visual matches found (skipped)
Boxing Gloves.jpg,5.35,0,No exact/visual matches found (skipped)
Boxing Pads.jpg,5.26,0,No exact/visual matches found (skipped)
Brahma Chicken.jpg,4.90,0,No exact/visual matches found (skipped)
"Brandenburg Gate, Berlin.jpg",7.62,1,Match found and saved
Brandenburg Gate.jpg,7.59,1,Match found and saved
Breaststroke.jpg,6.33,0,No exact/visual matches found (skipped)
Bridge Swinging.jpg,6.10,0,No exact/visual matches found (skipped)
Bristol Britannia.jpg,6.13,0,No exact/visual matches found (skipped)
Broccoli Cheddar Soup.jpg,5.67,0,No exact/visual matches found (skipped)
Brock Lesnar.jpg,5.37,0,No exact/visual matches found (skipped)
"Brooklyn Bridge, New York.jpg",5.79,0,No exact/visual matches found (skipped)
Brooks Koepka.jpg,4.89,0,No exact/visual matches found (skipped)
Bruce Lee.jpg,6.11,0,No exact/visual matches found (skipped)
Bruschetta.jpg,6.13,0,No exact/visual matches found (skipped)
Buffalo.jpg,6.61,0,No exact/visual matches found (skipped)
Bungee Jumping.jpg,6.25,0,No exact/visual matches found (skipped)
Burj Khalifa.jpg,6.48,0,No exact/visual matches found (skipped)
Busan Cinema Center.jpg,5.87,0,No exact/visual matches found (skipped)
Buster Posey - San Francisco Giants.jpg,6.09,0,No exact/visual matches found (skipped)
Butterfly Stroke.jpg,6.44,0,No exact/visual matches found (skipped)
Buzkashi (Afghanistan).jpg,6.82,0,No exact/visual matches found (skipped)
CC Sabathia - New York Yankees.jpg,5.99,0,No exact/visual matches found (skipped)
"CN Tower, Toronto.jpg",6.33,0,No exact/visual matches found (skipped)
CN Tower.jpg,5.91,0,No exact/visual matches found (skipped)
CONCACAF Gold Cup.jpg,6.93,1,Match found and saved
Cadel Evans.jpg,5.76,0,No exact/visual matches found (skipped)
Café Terrace at Night.jpg,7.17,1,Match found and saved
Cain Velasquez.jpg,6.46,0,No exact/visual matches found (skipped)
"Cairo Citadel, Egypt.jpg",5.02,0,No exact/visual matches found (skipped)
Cal Ripken Jr. - Baltimore Orioles.jpg,5.67,0,No exact/visual matches found (skipped)
Call of Duty 4_ Modern Warfare.jpg,6.02,0,No exact/visual matches found (skipped)
Call of Duty_ Black Ops.jpg,6.98,0,No exact/visual matches found (skipped)
Call of Duty_ Modern Warfare (2019).jpg,5.49,0,No exact/visual matches found (skipped)
Camel.jpg,5.36,0,No exact/visual matches found (skipped)
Camelid Crossbreeds (Cama).jpg,5.97,0,No exact/visual matches found (skipped)
Campbell's Soup Cans.jpg,5.45,0,No exact/visual matches found (skipped)
Canadian Pacific SD40-2.jpg,5.68,0,No exact/visual matches found (skipped)
Canyoning.jpg,6.69,0,No exact/visual matches found (skipped)
Caprese Salad.jpg,7.04,0,No exact/visual matches found (skipped)
Caproni Ca.3.jpg,6.62,0,No exact/visual matches found (skipped)
Car Stunt Shows.jpg,6.57,0,No exact/visual matches found (skipped)
Carl Lewis.jpg,5.98,0,No exact/visual matches found (skipped)
Carlos Alcaraz.jpg,5.81,0,No exact/visual matches found (skipped)
Carlos BeltrÃ¡n - New York Mets.jpg,5.49,0,No exact/visual matches found (skipped)
Carlos Yulo.jpg,4.79,0,No exact/visual matches found (skipped)
Carolina Skiff 198 DLV.jpg,5.75,0,No exact/visual matches found (skipped)
Casa Milà.jpg,5.94,0,No exact/visual matches found (skipped)
Casper Ruud.jpg,6.00,0,No exact/visual matches found (skipped)
Castlevania_ Symphony of the Night.jpg,5.42,0,No exact/visual matches found (skipped)
Catalina 425.jpg,5.87,0,No exact/visual matches found (skipped)
Catalina Ponor.jpg,5.07,0,No exact/visual matches found (skipped)
Catcher's Mask.jpg,6.15,0,No exact/visual matches found (skipped)
Catfish (Fish Farming).jpg,6.22,0,No exact/visual matches found (skipped)
Catherine Ndereba.jpg,5.64,0,No exact/visual matches found (skipped)
Cave Diving.jpg,5.57,0,No exact/visual matches found (skipped)
Cave Exploring.jpg,6.35,0,No exact/visual matches found (skipped)
Cave Jumping.jpg,6.16,0,No exact/visual matches found (skipped)
Cave Sledding.jpg,6.50,0,No exact/visual matches found (skipped)
Centaur.jpg,6.47,0,No exact/visual matches found (skipped)
Chainsaw Man (2).jpg,6.34,0,No exact/visual matches found (skipped)
Chainsaw Man.jpg,8.80,0,No match found above threshold
Chana Masala.jpg,6.06,0,No exact/visual matches found (skipped)
Character Keychains.jpg,6.34,0,No exact/visual matches found (skipped)
"Charles Bridge, Prague.jpg",7.12,0,No exact/visual matches found (skipped)
Chartres Cathedral.jpg,11.06,1,Match found and saved
Cheesecake.jpg,4.90,0,No exact/visual matches found (skipped)
Chengdu J-10.jpg,5.98,1,Match found and saved
Chest Protector.jpg,5.54,0,No exact/visual matches found (skipped)
"Chichen Itza, Mexico.jpg",6.96,1,Match found and saved
Chicken.jpg,6.11,0,No exact/visual matches found (skipped)
Chimelong Ocean Kingdom.jpg,6.20,0,No exact/visual matches found (skipped)
"Chimelong Paradise, China.jpg",6.64,0,No exact/visual matches found (skipped)
Chimera.jpg,6.81,0,No exact/visual matches found (skipped)
Chipper Jones - Atlanta Braves.jpg,6.41,0,No exact/visual matches found (skipped)
Chloe Bruce.jpg,5.77,0,No exact/visual matches found (skipped)
"Christ Church, Melaka.jpg",6.53,0,No exact/visual matches found (skipped)
"Christ the Redeemer, Brazil.jpg",8.06,1,Match found and saved
Christ the Redeemer.jpg,6.79,1,Match found and saved
"Christchurch Cathedral, NZ.jpg",6.46,0,No exact/visual matches found (skipped)
Christina's World.jpg,6.39,0,No exact/visual matches found (skipped)
Chrono Trigger.jpg,6.34,0,No exact/visual matches found (skipped)
Chrysler Building.jpg,6.81,0,No exact/visual matches found (skipped)
Chuck Norris.jpg,5.83,0,No exact/visual matches found (skipped)
Cinnamon Rolls.jpg,6.34,0,No exact/visual matches found (skipped)
City of Arts and Sciences.jpg,7.05,1,Match found and saved
Clannad.jpg,10.86,1,Match found and saved
Classroom of the Elite.jpg,10.26,1,Match found and saved
Claymore.jpg,10.05,0,No match found above threshold
Cleats.jpg,4.91,0,No exact/visual matches found (skipped)
Cliff Camping.jpg,5.08,0,No exact/visual matches found (skipped)
Cliff Diving.jpg,4.79,0,No exact/visual matches found (skipped)
"Cliffs of Moher, Ireland.jpg",5.22,0,No exact/visual matches found (skipped)
Climbing World Cup.jpg,4.85,0,No exact/visual matches found (skipped)
Cobalt R8 Surf.jpg,5.86,0,No exact/visual matches found (skipped)
Code Geass.jpg,4.84,0,No exact/visual matches found (skipped)
Collin Morikawa.jpg,5.45,0,No exact/visual matches found (skipped)
Colosseum.jpg,4.75,0,No exact/visual matches found (skipped)
Conor McGregor.jpg,4.91,0,No exact/visual matches found (skipped)
Consolidated B-24 Liberator.jpg,5.03,0,No exact/visual matches found (skipped)
Contender 44ST.jpg,5.27,0,No exact/visual matches found (skipped)
Counter-Strike 2.jpg,8.30,1,Match found and saved
Counter-Strike_ Global Offensive.jpg,5.25,0,No exact/visual matches found (skipped)
Cowboy Bebop.jpg,6.08,1,Match found and saved
Crack Is Wack.jpg,7.77,1,Match found and saved
Craig Biggio - Houston Astros.jpg,5.95,0,No exact/visual matches found (skipped)
CrossFit.jpg,6.70,0,No exact/visual matches found (skipped)
Cyclops.jpg,5.77,0,No exact/visual matches found (skipped)
Cynthia Rothrock.jpg,6.70,1,Match found and saved
D.Gray-man.jpg,7.02,1,Match found and saved
DALeast Mural in Berlin.jpg,6.30,0,No exact/visual matches found (skipped)
D_Face Skull Mural.jpg,7.89,1,Match found and saved
Dalilah Muhammad.jpg,6.32,0,No exact/visual matches found (skipped)
Dan Henderson.jpg,6.39,0,No exact/visual matches found (skipped)
Dan Inosanto.jpg,6.17,0,No exact/visual matches found (skipped)
Dancing House.jpg,5.91,0,No exact/visual matches found (skipped)
Dangerous Woman Tour.jpg,3.86,0,No exact/visual matches found (skipped)
Dassault Rafale.jpg,5.71,0,No exact/visual matches found (skipped)
David Rudisha.jpg,5.60,0,No exact/visual matches found (skipped)
Davis Love III.jpg,6.01,0,No exact/visual matches found (skipped)
"Death Valley National Park, USA.jpg",7.32,0,No exact/visual matches found (skipped)
Deena Kastor.jpg,6.02,0,No exact/visual matches found (skipped)
Deep Water Soloing.jpg,5.71,0,No exact/visual matches found (skipped)
Demetrious Johnson.jpg,5.61,0,No exact/visual matches found (skipped)
Demon Slayer Figures.jpg,6.22,0,No exact/visual matches found (skipped)
Demon Slayer.jpg,6.69,0,No exact/visual matches found (skipped)
Denis Shapovalov.jpg,6.41,0,No exact/visual matches found (skipped)
Denver Art Museum.jpg,6.20,0,No exact/visual matches found (skipped)
Derek Clayton.jpg,5.91,0,No exact/visual matches found (skipped)
Desert Trekking.jpg,5.91,0,No exact/visual matches found (skipped)
Desiree Linden.jpg,5.84,0,No exact/visual matches found (skipped)
Dhokla.jpg,6.16,0,No exact/visual matches found (skipped)
Diablo IV.jpg,5.77,0,No exact/visual matches found (skipped)
Diamond DA42.jpg,6.36,0,No exact/visual matches found (skipped)
Diego Schwartzman.jpg,6.10,0,No exact/visual matches found (skipped)
Dirt Jumping.jpg,6.80,0,No exact/visual matches found (skipped)
Discus.jpg,6.83,0,No exact/visual matches found (skipped)
Divinity_ Original Sin 2.jpg,6.47,0,No exact/visual matches found (skipped)
"Djurs Sommerland, Denmark.jpg",5.70,0,No exact/visual matches found (skipped)
Dog Sledding.jpg,5.52,0,No exact/visual matches found (skipped)
"Dollywood, Tennessee.jpg",6.08,0,No exact/visual matches found (skipped)
"Dolomites, Italy.jpg",6.83,0,No exact/visual matches found (skipped)
Dome of the Rock.jpg,8.05,1,Match found and saved
Dominic Thiem.jpg,4.79,0,No exact/visual matches found (skipped)
Don Mattingly - New York Yankees.jpg,4.72,0,No exact/visual matches found (skipped)
Don Wilson.jpg,4.97,0,No exact/visual matches found (skipped)
Donnie Yen.jpg,5.31,0,No exact/visual matches found (skipped)
Donuts.jpg,5.14,0,No exact/visual matches found (skipped)
Donzi 38 ZRC.jpg,5.38,0,No exact/visual matches found (skipped)
Dota 2 The International.jpg,4.84,0,No exact/visual matches found (skipped)
Douglas DC-3.jpg,5.18,0,No exact/visual matches found (skipped)
Douglas SBD Dauntless.jpg,4.87,0,No exact/visual matches found (skipped)
"Douro Valley, Portugal.jpg",5.21,0,No exact/visual matches found (skipped)
Downhill Mountain Biking.jpg,6.50,0,No exact/visual matches found (skipped)
Dr. Stone.jpg,6.54,1,Match found and saved
Dragon Ball Super.jpg,6.51,0,No exact/visual matches found (skipped)
Dragon Ball Z SH Figuarts.jpg,9.08,0,No exact/visual matches found (skipped)
Dragon Ball Z.jpg,6.59,1,Match found and saved
Dragon.jpg,5.85,0,No exact/visual matches found (skipped)
"Drayton Manor, UK.jpg",5.83,0,No exact/visual matches found (skipped)
"Dreamworld, Australia.jpg",5.31,0,No exact/visual matches found (skipped)
"Duinrell, Netherlands.jpg",6.07,0,No exact/visual matches found (skipped)
Dustin Johnson.jpg,5.48,0,No exact/visual matches found (skipped)
EarthBound.jpg,6.45,0,No exact/visual matches found (skipped)
Eddie Guerrero.jpg,5.38,0,No exact/visual matches found (skipped)
Eddy Merckx.jpg,5.40,0,No exact/visual matches found (skipped)
Eggplant Parmesan.jpg,6.06,0,No exact/visual matches found (skipped)
"Eiffel Tower, Paris.jpg",6.40,0,No exact/visual matches found (skipped)
Elan Impression 45.1.jpg,7.00,0,No exact/visual matches found (skipped)
Elbow Pads.jpg,6.23,0,No exact/visual matches found (skipped)
Elfen Lied.jpg,9.32,1,Match found and saved
Eliud Kipchoge.jpg,5.68,0,No exact/visual matches found (skipped)
Embraer EMB 314 Super Tucano.jpg,5.68,0,No exact/visual matches found (skipped)
"Empire State Building, USA.jpg",6.65,0,No exact/visual matches found (skipped)
Empire State Building.jpg,6.30,0,No exact/visual matches found (skipped)
Enamel Pins.jpg,6.84,0,No exact/visual matches found (skipped)
"Enchanted Kingdom, Philippines.jpg",5.14,0,No exact/visual matches found (skipped)
Enduro Motorcycling.jpg,6.27,0,No exact/visual matches found (skipped)
"Energylandia, Poland.jpg",32.30,0,No exact/visual matches found (skipped)
English Electric Canberra.jpg,6.23,0,No exact/visual matches found (skipped)
Ergo Proxy.jpg,10.26,0,No match found above threshold
Ernie Els.jpg,6.09,0,No exact/visual matches found (skipped)
"EsselWorld, India.jpg",6.40,0,No exact/visual matches found (skipped)
Esteban Chaves.jpg,6.76,0,No exact/visual matches found (skipped)
Etnias (Ethnicities).jpg,8.66,1,Match found and saved
Europa League Final.jpg,7.39,0,No exact/visual matches found (skipped)
Everglades 455CC.jpg,6.39,0,No exact/visual matches found (skipped)
Extreme Canoeing.jpg,6.16,0,No exact/visual matches found (skipped)
Extreme Skiing.jpg,6.75,0,No exact/visual matches found (skipped)
Extreme Triathlon.jpg,6.18,0,No exact/visual matches found (skipped)
F1 Abu Dhabi GP.jpg,6.04,0,No exact/visual matches found (skipped)
Falafel Wrap.jpg,6.73,0,No exact/visual matches found (skipped)
Fallingwater.jpg,6.89,0,No exact/visual matches found (skipped)
"Fantasy Island, UK.jpg",32.16,0,No exact/visual matches found (skipped)
Farman F.60 Goliath.jpg,5.93,0,No exact/visual matches found (skipped)
Fedor Emelianenko.jpg,3.34,0,No exact/visual matches found (skipped)
Feliciano López.jpg,5.81,0,No exact/visual matches found (skipped)
Fergie Jenkins - Chicago Cubs.jpg,5.71,0,No exact/visual matches found (skipped)
Félix Auger-Aliassime.jpg,3.32,0,No exact/visual matches found (skipped)
Field Hockey Stick.jpg,5.49,0,No match found above threshold
Final Fantasy VII.jpg,6.30,0,No exact/visual matches found (skipped)
Final Fantasy X.jpg,6.94,0,No exact/visual matches found (skipped)
Final Fantasy XIV Online.jpg,6.85,1,Match found and saved
Fire Emblem_ Three Houses.jpg,7.33,1,Match found and saved
Flatiron Building.jpg,6.13,0,No exact/visual matches found (skipped)
Flyboarding.jpg,6.36,0,No exact/visual matches found (skipped)
Foam Roller.jpg,5.60,0,No exact/visual matches found (skipped)
Forza Horizon 5.jpg,6.87,0,No exact/visual matches found (skipped)
Francesco Molinari.jpg,6.57,0,No exact/visual matches found (skipped)
Francisco Lindor - New York Mets.jpg,6.37,0,No exact/visual matches found (skipped)
Frank Shorter.jpg,6.92,0,No exact/visual matches found (skipped)
Fred Couples.jpg,6.26,0,No exact/visual matches found (skipped)
Fred Kerley.jpg,5.29,0,No exact/visual matches found (skipped)
Fred McGriff - Tampa Bay Rays.jpg,5.43,0,No exact/visual matches found (skipped)
Free Running.jpg,5.83,0,No exact/visual matches found (skipped)
Freediving.jpg,6.17,0,No exact/visual matches found (skipped)
French Open.jpg,7.17,0,No exact/visual matches found (skipped)
Frost Fair.jpeg,6.19,0,No exact/visual matches found (skipped)
Frozen T-shirt Contest.jpg,6.69,0,No exact/visual matches found (skipped)
Gabby Douglas.jpg,6.36,0,No exact/visual matches found (skipped)
Gail Devers.jpg,6.28,0,No exact/visual matches found (skipped)
Galen Rupp.jpg,5.53,0,No exact/visual matches found (skipped)
Gary Sheffield - Florida Marlins.jpg,6.13,0,No exact/visual matches found (skipped)
"Gateway of India, Mumbai.jpg",6.55,0,No exact/visual matches found (skipped)
Gateway of India.jpg,6.06,1,Match found and saved
Geoffrey Mutai.jpg,6.08,0,No exact/visual matches found (skipped)
Georges St-Pierre.jpg,5.74,0,No exact/visual matches found (skipped)
Geraint Thomas.jpg,5.52,0,No exact/visual matches found (skipped)
Ghost Town Hiking.jpg,5.38,0,No exact/visual matches found (skipped)
Giancarlo Stanton - New York Yankees.jpg,7.00,0,No exact/visual matches found (skipped)
Gina Carano.jpg,5.49,0,No exact/visual matches found (skipped)
Gintama.jpg,6.22,0,No exact/visual matches found (skipped)
Giulio Ciccone.jpg,5.76,0,No exact/visual matches found (skipped)
Glacier Climbing.jpg,6.14,0,No exact/visual matches found (skipped)
Glacier Hiking.jpg,5.54,0,No exact/visual matches found (skipped)
"Glacier National Park, USA.jpg",5.76,0,No exact/visual matches found (skipped)
